HSNCode,CGSTRate,SGSTRate,IGSTRate
8418,9,9,18
8419,9,9,18
8420,9,9,18
8421,9,9,18
8422 20 00,9,9,18
8422 30 00,9,9,18
8422 40 00,9,9,18
8422 90,9,9,18
8423,9,9,18
8424,9,9,18
8425,9,9,18
8426,9,9,18
8427,9,9,18
8428,9,9,18
8429,9,9,18
8430,9,9,18
8431,9,9,18
8435,9,9,18
8438,9,9,18
8439,9,9,18
8440,9,9,18
8441,9,9,18
8442,9,9,18
8443,9,9,18
8444,9,9,18
8445,9,9,18
8446,9,9,18
8447,9,9,18
8448,9,9,18
8449,9,9,18
8450,9,9,18
8451,9,9,18
8453,9,9,18
8454,9,9,18
8455,9,9,18
8456,9,9,18
8457,9,9,18
8458,9,9,18
8459,9,9,18
8460,9,9,18
8461,9,9,18
8462,9,9,18
8463,9,9,18
8464,9,9,18
8465,9,9,18
8466,9,9,18
8467,9,9,18
8468,9,9,18
8470,9,9,18
8471,9,9,18
8472,9,9,18
8473,9,9,18
8474,9,9,18
8475,9,9,18
8476,9,9,18
8477,9,9,18
8478,9,9,18
8479,9,9,18
8480,9,9,18
8481,9,9,18
8482,9,9,18
8483,9,9,18
8484,9,9,18
8486,9,9,18
8487,9,9,18
8501,9,9,18
8502,9,9,18
8503,9,9,18
8504,9,9,18
8505,9,9,18
8506,9,9,18
8507 60 00,9,9,18
8507,9,9,18
8508,9,9,18
8509,9,9,18
8510,9,9,18
8512,9,9,18
8513,9,9,18
8514,9,9,18
8515,9,9,18
8516,9,9,18
8517,9,9,18
8518,9,9,18
8519,9,9,18
8521,9,9,18
8522,9,9,18
8523,9,9,18
8525,9,9,18
8526,9,9,18
8527,9,9,18
8528,9,9,18
8528,9,9,18
8529,9,9,18
8530,9,9,18
8531,9,9,18
8532,9,9,18
8533,9,9,18
8534 00 00,9,9,18
8535,9,9,18
8536,9,9,18
8537,9,9,18
8538,9,9,18
8539,9,9,18
8540,9,9,18
8541,9,9,18
8542,9,9,18
8543,9,9,18
8544,9,9,18
8545,9,9,18
8546,9,9,18
8547,9,9,18
8548,9,9,18
8609,9,9,18
8702,9,9,18
8703,9,9,18
8704,9,9,18
8705,9,9,18
8708,9,9,18
8709,9,9,18
8715,9,9,18
8716,9,9,18
8801,9,9,18
8804,9,9,18
8805,9,9,18
8908 00 00,9,9,18
9001,9,9,18
9002,9,9,18
9004,9,9,18
9005,9,9,18
9006,9,9,18
9007,9,9,18
9008,9,9,18
9010,9,9,18
9011,9,9,18
